,Original Sum,Predicted Sum,Precision,Recall,F_Score,RUNTIME/sec,EMBEDDING_DIM,HIDDEN_SIZE,ATTENTION_SIZE,KEEP_PROB,BATCH_SIZE,EPOCHS,DELTA,LEARNING_RATE,ALPHA_DIVIDER
0,"['harry', 'potter', 'star', 'daniel', 'radcliffe', 'gets', '£20m', 'fortune', 'turns', '18', 'monday', 'young', 'actor', 'says', 'plans', 'fritter', 'cash', 'away', 'radcliffes', 'earnings', 'first', 'five', 'potter', 'films', 'held', 'trust', 'fund']","['radcliffe', '£20', 'fortune', 'insists', 'money', 'spell', 'and', 'of', 'phoenix', 'columnists', 'plans', 'his', 'away', 'celebrity', 'one', 'they', 'something', 'similar', 'told', 'extravagant', 'about', 'books', 'cds', 'will', 'casino', 'buy', 'in', 'horror', 'hell', 'mark', 'efforts', 'definitely', 'said', 'from', 'been', 'fund', 'fame', 'is', 'firmly', 'not', 'go', 'way', 'because', 'would', 'easy', 'them', 'boy', 'wizard', 'breaking', 'review', 'there', 'beyond', 'meanwhile', 'closer', 'now', 'hes', 'im', 'email', 'all', 'rights', 'material', 'may', 'broadcast', 'rewritten', 'later']",0.07692307692307693,0.18518518518518517,0.10869661070417462,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
1,"['mentally', 'ill', 'inmates', 'miami', 'three', 'forgotten', 'floor', 'judge', 'steven', 'leifman', 'says', 'result', 'avoidable', 'felonies', 'cnn', 'tours', 'facility', 'patient', 'shouts', 'son', 'president', 'leifman', 'says', 'system', 'unjust', 'fighting', 'change']","['editors', 'note', 'covering', 'and', 'here', 'many', 'of', 'miami', 'trial', 'pretrial', 'is', 'severe', 'mental', 'illnesses', 'until', 'they', 'face', 'drug', 'charges', 'usually', 'result', 'from', 'told', 'likely', 'according', 'getting', 'because', 'not', 'exactly', 'welcomed', 'permission', 'wearing', 'cutting', 'about', 'course', 'one', 'absolutely', 'reach', 'will', 'occasionally', 'got', 'streets', 'today', 'hes', 'working', 'starting', 'would', 'instead', 'sent', 'money', 'email']",0.0392156862745098,0.07407407407407407,0.05128300601581905,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
2,"['new', 'thought', 'going', 'die', 'driver', 'says', 'man', 'says', 'pickup', 'truck', 'folded', 'half', 'just', 'cut', 'face', 'driver', 'probably', '30', '35foot', 'free', 'fall', 'minnesota', 'bridge', 'collapsed', 'rush', 'hour', 'wednesday']","['minnesota', 'of', 'whole', 'from', 'one', 'and', 'fire', 'said', 'couple', 'kids', 'they', 'bleeding', 'were', 'bones', 'stood', 'deck', 'churning', 'getting', 'them', 'working', 'emts', 'would', 'drive', 'all', 'dust', 'movies', 'until', 'quit', 'got', 'quick', 'crying', 'set', 'run', 'bank', 'training', 'top', 'told', 'face', 'toivonen', 'clavecin', 'american', 'angle']",0.023809523809523808,0.037037037037037035,0.02898645960940406,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
3,"['five', 'small', 'polyps', 'found', 'procedure', 'none', 'worrisome', 'spokesman', 'says', 'president', 'reclaims', 'powers', 'transferred', 'vice', 'president', 'bush', 'undergoes', 'routine', 'colonoscopy', 'camp', 'david']","['and', 'small', 'from', 'none', 'said', 'were', 'sent', 'national', 'center', 'in', 'expected', 'all', 'than', 'centimeter', 'is', 'will', 'his', 'assumed', 'am', 'about', 'used', 'asleep', 'spoke', 'open', 'efforts', 'played', 'terriers', 'beazley', 'briefings', 'security', 'chief', 'of', 'bicycle', 'marylands', 'required', 'bush', 'colonoscopy', '2002', 'found', 'presidents', 'years', 'test', 'cancer', 'can', 'according', 'may', 'colonoscopies', 'himself', 'chemotherapy', 'spread', 'everybody', 'surveillance', 'american', 'getting', 'signs', 'colorectal', 'email']",0.07017543859649122,0.19047619047619047,0.10256506321500523,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
4,"['new', 'nfl', 'chief', 'atlanta', 'falcons', 'owner', 'critical', 'michael', 'vicks', 'conduct', 'nfl', 'suspends', 'falcons', 'quarterback', 'indefinitely', 'without', 'pay', 'vick', 'admits', 'funding', 'dogfighting', 'operation', 'says', 'gamble', 'vick', 'due', 'federal', 'court', 'monday', 'future', 'nfl', 'remains', 'uncertain']","['michael', 'said', 'of', 'and', 'vick', 'would', 'killed', '130', '2004', 'according', 'one', 'defendant', 'is', 'training', 'money', 'won', 'various', 'result', 'already', 'accepted', 'agreements', 'expected', 'may', 'polygraph', 'marshals', 'seize', 'discretion', 'protect', 'report', 'until', 'clavecin']",0.06451612903225806,0.06060606060606061,0.06250095004886805,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
5,"['parents', 'beam', 'pride', 'cant', 'stop', 'smiling', 'outpouring', 'support', 'mom', 'happy', 'please', 'know', 'burn', 'center', 'offered', 'provide', 'treatment', 'reconstructive', 'surgeries', 'dad', 'says', 'anything', 'youssif']","['iraq', 'shirt', 'of', 'across', 'been', 'his', 'and', 'they', 'from', 'severe', 'hes', 'wearing', 'efforts', 'face', 'reaction', 'would', 'said', 'thank', 'forward', 'leaving', 'were', 'trips', 'story', 'set', 'fire', 'parents', 'danger', 'one', 'arrested', 'clavecin', 'fund', 'here', 'menu', 'all', 'performed', 'campaigning', 'center', 'them', 'between', 'getting', 'know', 'lengthy', 'bank', 'may', 'matters', 'boy', 'is', 'foremost', 'us', 'now', 'security', 'wanted', 'together', 'border', 'largely', 'rest', 'report', 'atlanta']",0.034482758620689655,0.08695652173913043,0.049383675384883356,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
6,"['aid', 'workers', 'violence', 'increased', 'cost', 'living', 'drive', 'women', 'prostitution', 'group', 'working', 'raise', 'awareness', 'problem', 'iraqs', 'political', 'leaders', 'two', 'iraqi', 'mothers', 'tell', 'cnn', 'turned', 'prostitution', 'help', 'feed', 'children', 'everything', 'children', 'one', 'woman', 'says']","['and', 'they', 'of', 'leaves', 'badly', 'adjusts', 'light', 'pendant', 'money', 'may', 'prostitution', 'thinks', 'is', 'karima', 'streets', 'sacrifice', 'them', 'couple', 'trips', 'survive', 'according', 'one', 'forward', 'said', 'political', 'heartbreaking', 'driven', 'sees', 'worth', 'beauty', 'cannot', 'would', 'together', 'about', 'potential', 'from', 'dream', 'now', 'brain', 'comes']",0.05,0.0625,0.0555565061728834,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
7,"['tomas', 'medina', 'caracas', 'fugitive', 'drug', 'trafficking', 'indictment', 'negro', 'acacio', 'allegedly', 'helped', 'manage', 'extensive', 'cocaine', 'network', 'justice', 'department', 'indicted', '2002', 'colombian', 'military', 'killed', 'attack', 'guerrilla', 'encampment']","['commander', 'and', 'from', 'us', 'drug', 'was', 'killed', 'in', 'encampment', 'said', 'farc', 'acacio', 'of', 'primakov', 'de', 'according', 'officials', 'manage', 'trafficking', 'network', 'been', '2002', 'charged', 'conspiracy', 'import', 'distributing', 'fund', 'farcs', 'insurgency', 'medina', 'smuggled', 'other', 'charges', 'kidnap', 'one', 'them', 'nine', 'until', 'force', 'backed', 'trial', 'rebels', 'far', 'pistols', 'equipment', 'juan', 'news', 'conference', 'various', 'sources', 'played', 'apartheid', 'communist', 'is', 'inducted', 'email', 'would', 'contributed', 'report']",0.0847457627118644,0.2,0.11904857723924371,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
8,"['president', 'bush', 'says', 'tony', 'snow', 'will', 'battle', 'cancer', 'win', 'job', 'press', 'secretary', 'dream', 'snow', 'says', 'snow', 'leaving', 'september', '14', 'will', 'succeeded', 'teams', 'perino']","['is', 'his', 'and', 'will', 'sadly', 'perino', 'press', 'spoke', 'of', 'leaving', 'said', 'certain', 'hell', 'solid', 'contributor', 'all', 'daily', 'conference', 'money', 'took', 'left', 'anchor', 'political', 'according', 'post', 'now', 'been', 'dream', 'blast', 'amount', 'would', 'continue', 'hes', 'from', 'about', 'cancer', 'march', 'sources', 'weeks', 'early', 'replace', '2006', 'news', 'channel', '1996', 'they', 'top', 'chemotherapy', 'expected', 'im', 'weight', 'email']",0.057692307692307696,0.13043478260869565,0.08000095747557817,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
9,"['empty', 'antitank', 'turns', 'front', 'new', 'jersey', 'home', 'device', 'handed', 'army', 'ordnance', 'disposal', 'unit', 'capable', 'reloaded', 'experts', 'say']","['and', 'of', 'rocket', 'said', 'desai', 'been', 'turned', 'us', 'army', 'officials', 'company', 'explosive', 'ordnance', 'is', 'not', 'hazard', 'public', 'there', 'was', 'recently', 'they', 'could', 'know', 'where', 'from', '70', 'terrorism', 'force', 'division', 'property', 'al', 'middleaged', 'paul', 'center', 'security', 'strap', 'open', 'something', 'picture', '4', 'used', 'targets', 'according', 'diane', 'loaded', 'millimeter', 'can', 'penetrate', 'inches', 'maximum', '985', 'email', 'clavecin', 'report']",0.037037037037037035,0.11764705882352941,0.056338991747692656,598.7058103084564,100,150,50,0.8,2,3,0.5,0.003,15
