,Original Sum,Predicted Sum,Precision,Recall,F_Score,RUNTIME/sec,DATA_NUM,EPOCHS,LEARNING_RATE,HIDDEN_SIZE,K,D
0,"['potter', 'star', 'daniel', 'radcliffe', 'gets', 'unk', 'fortune', 'as', 'he', 'turns', '18', 'monday', 'young', 'actor', 'says', 'he', 'has', 'no', 'plans', 'to', 'fritter', 'his', 'cash', 'away', 'unk', 'earnings', 'from', 'first', 'five', 'potter', 'films', 'have', 'been', 'held', 'in', 'trust', 'fund']","['by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by', 'by']",0.0,0.0,1e-06,654.0071597099304,50,5,0.003,250,5,5
1,"['ill', 'inmates', 'in', 'miami', 'are', 'three', 'on', 'the', 'forgotten', 'floor', 'judge', 'steven', 'unk', 'says', 'most', 'are', 'there', 'as', 'a', 'result', 'of', 'avoidable', 'felonies', 'while', 'cnn', 'tours', 'facility', 'patient', 'shouts', 'i', 'am', 'the', 'son', 'of', 'the', 'president', 'unk', 'says', 'the', 'system', 'is', 'unjust', 'and', 'hes', 'fighting', 'for', 'change']","['in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in']",0.021739130434782608,0.02127659574468085,0.021506326349983257,654.0071597099304,50,5,0.003,250,5,5
2,"['i', 'thought', 'i', 'was', 'going', 'to', 'die', 'driver', 'says', 'man', 'says', 'pickup', 'truck', 'was', 'folded', 'in', 'half', 'he', 'just', 'has', 'cut', 'on', 'face', 'driver', 'i', 'probably', 'had', 'a', '30', 'unk', 'free', 'fall', 'minnesota', 'bridge', 'collapsed', 'during', 'rush', 'hour', 'wednesday']","['unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk']",0.02631578947368421,0.02564102564102564,0.025974975982555316,654.0071597099304,50,5,0.003,250,5,5
3,"['small', 'polyps', 'found', 'during', 'procedure', 'none', 'worrisome', 'spokesman', 'says', 'president', 'reclaims', 'powers', 'transferred', 'to', 'vice', 'president', 'bush', 'undergoes', 'routine', 'colonoscopy', 'at', 'camp', 'david']","['unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk']",0.0,0.0,1e-06,654.0071597099304,50,5,0.003,250,5,5
4,"['nfl', 'chief', 'atlanta', 'falcons', 'owner', 'critical', 'of', 'michael', 'vicks', 'conduct', 'nfl', 'suspends', 'falcons', 'quarterback', 'indefinitely', 'without', 'pay', 'vick', 'admits', 'funding', 'dogfighting', 'operation', 'but', 'says', 'he', 'did', 'not', 'gamble', 'vick', 'due', 'in', 'federal', 'court', 'monday', 'future', 'in', 'nfl', 'remains', 'uncertain']","['unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk']",0.0,0.0,1e-06,654.0071597099304,50,5,0.003,250,5,5
5,"['beam', 'with', 'pride', 'cant', 'stop', 'from', 'smiling', 'from', 'outpouring', 'of', 'support', 'mom', 'i', 'was', 'so', 'happy', 'i', 'please', 'know', 'what', 'to', 'do', 'burn', 'center', 'in', 'us', 'has', 'offered', 'to', 'provide', 'treatment', 'for', 'reconstructive', 'surgeries', 'dad', 'says', 'anything', 'for', 'youssif']","['unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk', 'unk']",0.0,0.0,1e-06,654.0071597099304,50,5,0.003,250,5,5
6,"['workers', 'violence', 'increased', 'cost', 'of', 'living', 'drive', 'women', 'to', 'prostitution', 'group', 'is', 'working', 'to', 'raise', 'awareness', 'of', 'the', 'problem', 'with', 'iraqs', 'political', 'leaders', 'two', 'iraqi', 'mothers', 'tell', 'cnn', 'they', 'turned', 'to', 'prostitution', 'to', 'help', 'feed', 'their', 'children', 'everything', 'is', 'for', 'the', 'children', 'one', 'woman', 'says']","['to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to']",0.09090909090909091,0.08888888888888889,0.08988859045577835,654.0071597099304,50,5,0.003,250,5,5
7,"['medina', 'caracas', 'was', 'a', 'fugitive', 'from', 'a', 'us', 'drug', 'trafficking', 'indictment', 'el', 'negro', 'acacio', 'allegedly', 'helped', 'manage', 'extensive', 'cocaine', 'network', 'us', 'justice', 'department', 'indicted', 'him', 'in', '2002', 'colombian', 'military', 'he', 'was', 'killed', 'in', 'an', 'attack', 'on', 'a', 'guerrilla', 'encampment']","['to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to']",0.0,0.0,1e-06,654.0071597099304,50,5,0.003,250,5,5
8,"['bush', 'says', 'tony', 'snow', 'will', 'battle', 'cancer', 'and', 'win', 'job', 'of', 'press', 'secretary', 'has', 'been', 'a', 'dream', 'for', 'me', 'snow', 'says', 'snow', 'leaving', 'on', 'september', '14', 'will', 'be', 'succeeded', 'by', 'teams', 'perino']","['to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to']",0.0,0.0,1e-06,654.0071597099304,50,5,0.003,250,5,5
9,"['antitank', 'turns', 'up', 'in', 'front', 'of', 'new', 'jersey', 'home', 'device', 'handed', 'over', 'to', 'army', 'ordnance', 'disposal', 'unit', 'not', 'capable', 'of', 'being', 'reloaded', 'experts', 'say']","['to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to']",0.043478260869565216,0.041666666666666664,0.042554141512055076,654.0071597099304,50,5,0.003,250,5,5
